Place,Magnitude,Link,Date
"71km SE of Estacion Coahuila, B.C., MX",5.49,https://earthquake.usgs.gov/earthquakes/eventpage/ci38385946,2020-03-07
"23km ESE of Buenos Aires, Costa Rica",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bgr,2020-03-07
Southwest Indian Ridge,5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us60008ay3,2020-03-06
Southern Mid-Atlantic Ridge,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a9i,2020-03-05
"168km ESE of Raoul Island, New Zealand",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a7b,2020-03-05
"161km ENE of Angoram, Papua New Guinea",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a39,2020-03-05
"39km S of Tinogasta, Argentina",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us600089zt,2020-03-05
"67km S of Bristol Island, South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600089h2,2020-03-04
"50km W of Amatignak Island, Alaska",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600088i8,2020-03-03
"64km S of Bristol Island, South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000885x,2020-03-02
"53km WSW of Amatignak Island, Alaska",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600087lz,2020-03-02
"5km NNE of Culasian, Philippines",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600087il,2020-03-01
"158km N of Tobelo, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600086um,2020-02-29
"135km ESE of Tadine, New Caledonia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600086su,2020-02-29
"103km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600086p0,2020-02-29
"201km NW of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600086as,2020-02-28
"43km WSW of Pagaralam, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000863e,2020-02-28
"117km ESE of Neiafu, Tonga",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600085x5,2020-02-28
Southern East Pacific Rise,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us600085my,2020-02-27
"179km S of Sarangani, Philippines",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us600085g3,2020-02-27
Southern Mid-Atlantic Ridge,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000859r,2020-02-27
Southern Mid-Atlantic Ridge,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008535,2020-02-27
"48km NNW of Saumlaki, Indonesia",5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us600084gu,2020-02-26
"109km WNW of Kirakira, Solomon Islands",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000848g,2020-02-25
"50km NNW of Hualian, Taiwan",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007we1,2020-02-25
"79km W of Santiago de Cao, Peru",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w9l,2020-02-25
"240km SE of Lambasa, Fiji",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w8g,2020-02-25
"83km ESE of Muara Siberut, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w28,2020-02-24
"24km SE of Saray, Turkey",6,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g,2020-02-23
"67km NE of Kuril'sk, Russia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v6u,2020-02-23
"26km ESE of Saray, Turkey",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29,2020-02-23
"141km SE of Modayag, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v12,2020-02-23
"135km SE of Modayag, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v0d,2020-02-23
West Chile Rise,5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uy4,2020-02-22
"62km SSE of `Ohonua, Tonga",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uvu,2020-02-22
"40km SSE of `Ohonua, Tonga",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uuu,2020-02-22
"110km SSE of Pondaguitan, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usp,2020-02-22
"114km SSE of Pondaguitan, Philippines",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usm,2020-02-22
"144km E of Chichi-shima, Japan",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007upz,2020-02-22
"36km SSW of Amatignak Island, Alaska",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007u2w,2020-02-21
"229km NW of Saumlaki, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tt3,2020-02-20
"153km ENE of Petropavlovsk-Kamchatskiy, Russia",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007trb,2020-02-20
"286km NNE of Luring, China",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tnv,2020-02-20
"13km SE of Kalbay, Philippines",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us70007th0,2020-02-20
South of the Kermadec Islands,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tf0,2020-02-20
"118km SE of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tdi,2020-02-20
"93km SSW of Merizo Village, Guam",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007t2i,2020-02-19
North of Svalbard,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007s90,2020-02-18
